k,wss,silhouette
1,150.0,
2,100.40066308815895,0.7407280815997127
3,62.8670305752842,0.3321473331784034
4,47.366254364430276,0.34837694508462214
5,35.831122583070616,0.29806872437041854
6,26.959051631639188,0.3073574493784071
7,20.577084832274046,0.33820680181132995
8,16.991001303869947,0.34271182623774754
9,14.294453830688566,0.33259869540763953
10,12.059554629938006,0.35415706459535984
