model,sector,rmse,mae,hit_rate,n_months
legacy_rf,건설,0.004236620791265923,0.0036246254196635338,0.5,6
legacy_rf,금융,0.003056508323693328,0.0025291946906284384,0.6666666666666666,6
legacy_rf,미디어_엔터,0.006375056913679372,0.005049128942229057,0.6666666666666666,6
legacy_rf,바이오_제약,0.0028519940767692173,0.0023301767906271516,0.3333333333333333,6
legacy_rf,반도체,0.004438808414377911,0.003595284018570338,0.5,6
legacy_rf,에너지_정유,0.0027293709097001295,0.002079868677636492,0.5,6
legacy_rf,유통_소매,0.0027613892905674286,0.002388666877058684,0.5,6
legacy_rf,자동차,0.0016857581169303203,0.0015243343841796137,0.3333333333333333,6
legacy_rf,통신,0.0019589173956571482,0.00169952433950463,0.5,6
legacy_rf,화학,0.005450180964172676,0.00418108576741619,0.5,6
