cluster,avg_return_count,avg_return_mean,avg_return_min,avg_return_max,foreign_flow_count,foreign_flow_mean,foreign_flow_min,foreign_flow_max,fx_sensitivity_count,fx_sensitivity_mean,fx_sensitivity_min,fx_sensitivity_max
1,20,0.0007002224642822204,-0.0006258518382480512,0.0020804473505093932,20,0.00041769864250882857,-0.0014393060755277076,0.0061846607696324895,20,-0.06751409650312001,-0.2974646654939284,0.25266479888090904
2,1,0.000493006715261835,0.000493006715261835,0.000493006715261835,1,0.036217199130803436,0.036217199130803436,0.036217199130803436,1,0.04595876817563601,0.04595876817563601,0.04595876817563601
3,26,-0.0007262513533878687,-0.0025503028652666534,0.0001325670803608589,26,-1.7327134789799465e-05,-0.0010853629242175194,0.003536369178576028,26,-0.29443511915598913,-0.5800205810017913,-0.05717929404264787
4,3,0.001200203013346829,0.00037437817875708506,0.0026152191876399338,3,0.0005836923234410781,0.00023364474251845,0.0010838811238638346,3,-0.5850017760834149,-0.7464903961963036,-0.4669766580214721
