ticker,avg_return,foreign_flow,fx_sensitivity,cluster
BGF리테일,-0.0011876907686273297,-0.00035422111824548637,-0.2714541927668959,3
CJ ENM,-0.0005421516255995311,0.00019931465451079048,-0.40845976183143307,3
DB하이텍,-0.0009278144537068099,9.689349382658021e-05,-0.09280831218528929,3
DL이앤씨,0.0004332608417846675,0.0007811251091400306,-0.20963350234467393,1
GS,-7.055364913298639e-05,-0.0007336802626786479,-0.21499639058670497,3
GS건설,-0.00023921770805732803,-4.188996961432439e-06,-0.1448612416242394,3
GS리테일,-0.0009116020343057297,4.222309741030691e-05,-0.08055602644366848,3
HDC현대산업개발,0.001499257988306281,0.0009669513483405601,-0.17351703696321402,1
JYP Ent.,-0.0006258518382480512,-0.0014393060755277076,0.0750077671564645,1
KB금융,0.0012346846862015034,6.14014425487751e-05,-0.23722717277167665,1
KT,0.001079747915397567,0.00039669304781982535,-0.15083410845965403,1
KTis,-0.0005757684893811936,0.0004273276054557214,-0.32997617567887927,3
LG유플러스,0.0001325670803608589,-0.00019612163333612245,-0.23237519814733176,3
LG화학,-0.0025503028652666534,-0.0009297618399732281,-0.25277909746955296,3
S-Oil,-0.0007287485879025023,-0.00021057951444068272,-0.19214601094918143,3
SK스퀘어,0.0015749788498974468,0.0004273276054557214,-0.025839587332724286,1
SK이노베이션,-0.001293584574183133,-0.0010218129436169257,-0.05717929404264787,3
SK케미칼,-0.0012254591226510002,-0.00040373992487236117,-0.37158783046692057,3
SK텔레콤,0.0002473314582217086,-8.879564262055286e-05,-0.10486087529563254,1
SK하이닉스,0.0013928830902199447,0.00014867056689085264,0.25266479888090904,1
SNT모티브,9.208814567247891e-05,-0.00019323814964338366,-0.26508208845208237,3
iMBC,0.000493006715261835,0.036217199130803436,0.04595876817563601,2
금호석유화학,-0.00035979076163527625,-0.00035290063750334516,-0.31641459720733217,3
기아,8.124739738021812e-05,7.753429779741586e-05,-0.09831741967350009,1
대우건설,-0.0003217379189365562,-0.00011262471403254198,-0.34188777807650494,3
롯데쇼핑,-0.0003583876138468118,-0.0007937188562074855,-0.35587170422899905,3
롯데케미칼,-0.0021543187362489968,-0.00030274463357940354,-0.5699921858927793,3
메리츠금융지주,0.0020804473505093932,-8.078989281499548e-05,0.04606323166598139,1
삼성바이오로직스,0.0006501267323670773,0.00042889291961077013,-0.04198424272268547,1
삼성전자,-0.0003471520673624963,-7.676247343053748e-05,-0.0005917704520682574,1
셀트리온,0.0001060520787280635,0.0061846607696324895,0.006895358191980963,1
스튜디오드래곤,-0.0005595343939992517,0.0006820949411789498,-0.2183375325046379,3
신세계,-0.0006133012787942374,-0.0004132218698594452,-0.2992679970103177,3
신한지주,0.0007644339907057205,-0.00016639075293417138,-0.1723278742982731,1
우리금융지주,0.0008494499334277251,0.00027750996599782427,-0.16738317893430035,1
원익IPS,-0.0006144754824505695,0.0006753716853043411,-0.22445950023132089,3
유한양행,0.0014949129371780215,-0.00011341441871322499,0.03805438702197855,1
이마트,-0.00014509963949750198,-0.0009527750223526511,-0.3825167092894165,3
종근당,6.55868488280842e-05,0.0012301455919833425,-0.4071514793217148,3
콘텐트리중앙,-0.0019319933246229163,0.003536369178576028,-0.5800205810017913,3
하나금융지주,0.0008632034188555848,-0.0001312063918876786,-0.2974646654939284,1
한국가스공사,0.0006923297049819201,0.0008009167692820847,0.16202602946121838,1
한국전력,0.0006110116736434681,0.0004335511039409494,-0.5415382740324689,4
한미반도체,0.0026152191876399338,0.0010838811238638346,-0.7464903961963036,4
한미약품,-0.00031158663831361944,-0.0005249549141644769,-0.2635900398144237,3
한화솔루션,-0.0009350093016990289,-0.0010853629242175194,-0.4091851685456464,3
현대건설,4.7533603443203535e-05,-0.00034499377733021466,-0.15808636383838393,1
현대모비스,0.00037437817875708506,0.00023364474251845,-0.4669766580214721,4
현대위아,-0.0006146482940870428,0.0012454022029042932,-0.3723562042860058,3
현대차,-0.00011442878635109167,0.00024394843291930405,-0.092925703860218,1
