sector,rmse_percent_points,hit_rate,n_months
통신,0.173,0.333,6
유통_소매,0.258,0.667,6
금융,0.310,0.667,6
자동차,0.187,0.500,6
에너지_정유,0.264,0.667,6
바이오_제약,0.268,0.167,6
건설,0.428,0.500,6
화학,0.560,0.500,6
미디어_엔터,0.648,0.667,6
반도체,0.500,0.500,6
