model,sector,rmse,mae,hit_rate,n_months
last_return,건설,0.0055529920742352756,0.005235426531982966,0.5,6
last_return,금융,0.005167131662126082,0.004505287834650133,0.3333333333333333,6
last_return,미디어_엔터,0.010663513938811634,0.009324536356848415,0.16666666666666666,6
last_return,바이오_제약,0.003612339160053697,0.0030179579300092497,0.5,6
last_return,반도체,0.005441328523289294,0.004616056536470883,0.6666666666666666,6
last_return,에너지_정유,0.00492260636243507,0.003994870680878134,0.16666666666666666,6
last_return,유통_소매,0.003201784335758333,0.0029401283770414664,0.6666666666666666,6
last_return,자동차,0.0028455983651317594,0.0025522664955147886,0.5,6
last_return,통신,0.003491998832753974,0.002786799700883767,0.3333333333333333,6
last_return,화학,0.005640249074153145,0.004557396400617967,0.5,6
rf_base,건설,0.004231934476845386,0.003563999790074697,0.3333333333333333,6
rf_base,금융,0.003101043155523232,0.0025749814804123332,0.6666666666666666,6
rf_base,미디어_엔터,0.006389921619322242,0.005059262636159876,0.6666666666666666,6
rf_base,바이오_제약,0.0028136080949864076,0.0022954548564722496,0.3333333333333333,6
rf_base,반도체,0.004449580000479885,0.0035519482776146497,0.5,6
rf_base,에너지_정유,0.0027639462121609856,0.0020820142023571598,0.3333333333333333,6
rf_base,유통_소매,0.0027769268310507624,0.0024144192173307668,0.5,6
rf_base,자동차,0.001749417166230197,0.0015471582599551111,0.3333333333333333,6
rf_base,통신,0.0019752131410650403,0.001701163246366083,0.5,6
rf_base,화학,0.005483161605236772,0.0041787972693309505,0.5,6
rf_network,건설,0.004103537302879158,0.0035203734615583075,0.5,6
rf_network,금융,0.0031059616963825727,0.00257733819276305,0.6666666666666666,6
rf_network,미디어_엔터,0.006415842587512658,0.005112707121307816,0.5,6
rf_network,바이오_제약,0.002887008487333535,0.002340902919953635,0.3333333333333333,6
rf_network,반도체,0.004419058010385978,0.0036449146005516665,0.5,6
rf_network,에너지_정유,0.002746170590478385,0.0020527461069311,0.5,6
rf_network,유통_소매,0.002781541025670928,0.00238629099070715,0.5,6
rf_network,자동차,0.0016795419965312706,0.0014667360738731346,0.3333333333333333,6
rf_network,통신,0.0019868372366360853,0.0017379673567047666,0.5,6
rf_network,화학,0.005492034068317298,0.004215817676018867,0.5,6
zero,건설,0.0038737552860898185,0.0034129783440213003,,6
zero,금융,0.003023144308524395,0.0027000035102602497,,6
zero,미디어_엔터,0.005916218831571046,0.005080616964828683,,6
zero,바이오_제약,0.0025452061391834416,0.001995118197141965,,6
zero,반도체,0.004288010091878841,0.0036151460780472493,,6
zero,에너지_정유,0.0026771575894747163,0.0020301662177719,,6
zero,유통_소매,0.002660488896656303,0.002293567860027433,,6
zero,자동차,0.0015927091239839677,0.001358078408643661,,6
zero,통신,0.0020102285132882324,0.0016877270844639835,,6
zero,화학,0.0054271736755367095,0.0036531002303248333,,6
