model,sector,rmse,mae,hit_rate,n_months
last_return,건설,0.005344244948759637,0.005008583760708554,0.5454545454545454,11
last_return,금융,0.004316740702699486,0.0035290484737160815,0.45454545454545453,11
last_return,미디어_엔터,0.007973463851560567,0.005779048610484203,0.45454545454545453,11
last_return,바이오_제약,0.004075430508684832,0.003274123580899191,0.5454545454545454,11
last_return,반도체,0.0052405770600925505,0.0045343358882603095,0.7272727272727273,11
last_return,에너지_정유,0.005749495497765195,0.004620495894343727,0.18181818181818182,11
last_return,유통_소매,0.0028448761357892133,0.002547142282207791,0.5454545454545454,11
last_return,자동차,0.004933644534791329,0.0038581387209346398,0.5454545454545454,11
last_return,통신,0.0030039914205545956,0.0024050113246163636,0.45454545454545453,11
last_return,화학,0.005679368393921058,0.0045797464996458455,0.45454545454545453,11
rf_base,건설,0.0041360282400665065,0.003311306594015455,0.36363636363636365,11
rf_base,금융,0.002684811478583371,0.002204688915483073,0.6363636363636364,11
rf_base,미디어_엔터,0.004779197971781057,0.0031978988809624504,0.8181818181818182,11
rf_base,바이오_제약,0.0034126646775702774,0.002787912019873636,0.45454545454545453,11
rf_base,반도체,0.004981872536379725,0.004278094331613127,0.36363636363636365,11
rf_base,에너지_정유,0.0034460783863271005,0.0025570449089367237,0.2727272727272727,11
rf_base,유통_소매,0.0024607155823033705,0.0021059875723822546,0.45454545454545453,11
rf_base,자동차,0.00312556693046651,0.002441573575980979,0.2727272727272727,11
rf_base,통신,0.001864183885357362,0.0016696670020015022,0.5454545454545454,11
rf_base,화학,0.00479575987751784,0.003598549203173035,0.6363636363636364,11
rf_network,건설,0.004053711699917264,0.0032690869652351744,0.45454545454545453,11
rf_network,금융,0.0026942098479524864,0.002221084361297782,0.6363636363636364,11
rf_network,미디어_엔터,0.004798042983658111,0.0032385677452272904,0.7272727272727273,11
rf_network,바이오_제약,0.003475101635304583,0.002818720923168274,0.45454545454545453,11
rf_network,반도체,0.004969762520333884,0.0043373307401891725,0.36363636363636365,11
rf_network,에너지_정유,0.0034344544650522276,0.0025340371267468364,0.36363636363636365,11
rf_network,유통_소매,0.0024717788861702635,0.002089700472761718,0.45454545454545453,11
rf_network,자동차,0.003064368192229429,0.002361865753468483,0.2727272727272727,11
rf_network,통신,0.0018499081493783013,0.0016591456998311092,0.5454545454545454,11
rf_network,화학,0.004770930456387637,0.0036024385287804633,0.6363636363636364,11
zero,건설,0.003902559828626479,0.003215830636612638,,11
zero,금융,0.0026706985357801806,0.0021615194413302724,,11
zero,미디어_엔터,0.004649322874808252,0.003768738388417518,,11
zero,바이오_제약,0.0033582980598569493,0.0025381701728293088,,11
zero,반도체,0.004521134514480129,0.003966358536304546,,11
zero,에너지_정유,0.003287549027711174,0.002441195128845309,,11
zero,유통_소매,0.0022645296807777097,0.0019198333160959633,,11
zero,자동차,0.002897747412223946,0.0021580275542248967,,11
zero,통신,0.0018861863135977359,0.0016296787490069817,,11
zero,화학,0.004755436767387426,0.003565289539037564,,11
