산업,yearmon,mean_ret,mean_fx,mean_flow,next_ret,network_signal,leader_count
건설,2023-05-01,0.0006271783322625241,-0.0006571010182924472,0.00040966996794874946,-0.002927007532527041,0.0,0
건설,2023-06-01,-0.002927007532527041,-0.0003261761054857271,-0.0033105923940934326,-0.0036001144194558027,0.0,0
건설,2023-07-01,-0.0036001144194558027,-0.001189868539380162,0.00033291423432228674,-0.0002815066156339128,0.0,0
건설,2023-08-01,-0.0002815066156339128,0.0014581586546178365,0.0017039692590130001,-0.0011452951920861874,0.0,0
건설,2023-09-01,-0.0011452951920861874,0.0009303290206245316,-0.0012292568146300253,0.00011136193842965692,0.0,0
건설,2023-10-01,0.00011136193842965692,0.00032241867624553157,0.0003703407704556527,0.007622736650456327,0.0,0
건설,2023-11-01,0.007622736650456327,-0.0021687854378604045,0.0025295166126008592,-0.003478443768138157,0.0,0
건설,2023-12-01,-0.003478443768138157,0.0002394016570719736,0.0027532346821682718,0.002712715569531414,0.0,0
건설,2024-01-01,0.002712715569531414,0.0014390827877930226,0.0018219768334493001,0.0005211572153961127,0.0,0
건설,2024-02-01,0.0005211572153961127,0.0001394471571416936,0.0018838541762718887,-0.003408373765000333,0.0,0
건설,2024-03-01,-0.003408373765000333,0.00048780065190119084,-0.0013342398207370739,0.0023546465767175667,0.0,0
건설,2024-04-01,0.0023546465767175667,0.0011264216075361857,0.0018673780970283925,-0.003065660629765454,0.0,0
건설,2024-05-01,-0.003065660629765454,-6.595722400444502e-05,0.00031851609185632514,-0.00028204929967449267,0.0,0
건설,2024-06-01,-0.00028204929967449267,0.0004884969275817029,-0.0006827230634177979,0.006539678745684322,0.0,0
건설,2024-07-01,0.006539678745684322,-0.00013992318308946093,0.0009467502128347912,9.423055171151841e-05,0.0,0
건설,2024-08-01,9.423055171151841e-05,-0.0017055162539663616,-0.0020461714327186685,-0.005172384132101186,0.0,0
건설,2024-09-01,-0.005172384132101186,-0.0006498648682445,-0.0012176464654426932,-0.0028079242094399275,0.0,0
건설,2024-10-01,-0.0028079242094399275,0.002370318258041045,-0.000382880799435869,0.002345664169902501,-0.0003092547150757704,2
건설,2024-11-01,0.002345664169902501,0.00040205091301466185,0.00024419291232876387,-0.005476805497224013,0.0019965352520008345,1
